Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
CHINA|PUERTO QUETZAL|30/07/2019| 8711209000|2020|ITALIKA|150Z|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|438037.22|52564.47|
