"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"78","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:23:45,FALSE,NA,"1301314905547698178",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","walter2019I",17,TRUE,FALSE,NA,NA,2020-09-02 18:23:45
"79","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/eTxTeVt5c4",FALSE,1,NA,2020-09-03 00:23:21,TRUE,NA,"1301314806813777921",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 18:23:21
"80","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:23:11,FALSE,NA,"1301314765365665793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheJesterHell",17,TRUE,FALSE,NA,NA,2020-09-02 18:23:11
"81","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:22:45,FALSE,NA,"1301314652668915713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PampichiNews",17,TRUE,FALSE,NA,NA,2020-09-02 18:22:45
"82","Conductor ileso tras volcar picop en calzada Aguilar Batres 2 calle zona 11.

🛑 más imágenes en:… https://t.co/P65xuI9vP0",FALSE,14,NA,2020-09-03 00:22:40,TRUE,NA,"1301314632779534336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amilcarmontejo",3,FALSE,FALSE,NA,NA,2020-09-02 18:22:40
"83","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:19:09,FALSE,NA,"1301313746976018433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Casasola_Flor",17,TRUE,FALSE,NA,NA,2020-09-02 18:19:09
"84","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:18:29,FALSE,NA,"1301313581187821568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1975soto1",17,TRUE,FALSE,NA,NA,2020-09-02 18:18:29
"85","RT @MILTONRIANOP: ESPECTACULAR ARCOIRIS!!! El hace parte de la protección en el medio ambiente cuidemolo, CARBONDIVEST #JungkookDay #Renunc…",FALSE,0,NA,2020-09-03 00:17:28,FALSE,NA,"1301313323414310912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MILTONRIANOP",8,TRUE,FALSE,NA,NA,2020-09-02 18:17:28
"86","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:13:23,FALSE,NA,"1301312296480841730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rmorales969",17,TRUE,FALSE,NA,NA,2020-09-02 18:13:23
"87","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:10:46,FALSE,NA,"1301311638507868160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marvinoliva15",17,TRUE,FALSE,NA,NA,2020-09-02 18:10:46
"88","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:10:12,FALSE,NA,"1301311496195055622",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","12kanM",17,TRUE,FALSE,NA,NA,2020-09-02 18:10:12
"89","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:09:05,FALSE,NA,"1301311213880717312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byrhergar",17,TRUE,FALSE,NA,NA,2020-09-02 18:09:05
"90","RT @PampichiNews: #TraficoGT
Tráiler Encunetado en bajada de #VillaLobos en dirección hacia #Amatitlán https://t.co/KrSMLLjHwG",FALSE,0,NA,2020-09-03 00:08:26,FALSE,NA,"1301311051548495879",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pusher12587",17,TRUE,FALSE,NA,NA,2020-09-02 18:08:26
