Año,Mes,GLP,Gasolina aviación,Gasolina superior,Gasolina regular,Kerosina,Combustible Turbo Jet,Diesel,Diesel Bajo Azufre,Diesel Ultra Bajo Azufre,Bunker,Asfalto,PetCoke,Aceites Lubricantes,Grasas Lubricantes,Solventes,Naftas,Ceras,Butano,Petróleo Reconstit.,MTBE,Orimulción,Mezclas Oleosas,Total
2013,5,"181,461.60",797.62,"532,379.66","281,823.20","73,024.85",- ,"1,202,187.85",- ,- ,"331,393.56",- ,"180,944.23",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,784,012.56"
2013,6,"536,847.17","1,196.47","284,038.03","293,808.60","75,416.48",- ,"729,711.88",- ,- ,"365,997.74","34,302.05","167,235.48",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,488,553.89"
2013,7,"352,909.02",795.59,"486,075.06","259,025.83","60,089.40",- ,"693,160.50",- ,- ,"113,165.55",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"1,965,220.95"
2013,8,"359,346.00","3,677.00","347,066.11","221,433.20","58,972.06",- ,"505,133.44",- ,- ,"405,352.22",- ,"146,366.33",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,047,346.36"
2013,9,"394,985.89",- ,"373,303.31","300,794.99","83,693.28",- ,"803,626.98",- ,- ,"172,130.08",305,"172,152.59",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,300,992.12"
2013,10,"415,869.34","3,626.98","372,946.33","281,168.85","133,623.60",- ,"980,327.98",- ,- ,"171,722.79",889,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,360,174.87"
2013,11,"425,669.24",797.21,"496,029.72","390,941.15","5,319.12",- ,"903,218.47",- ,- ,"202,139.43",152,"169,752.50",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,594,018.83"
2013,12,"452,414.08",- ,"358,799.64","210,096.78","98,883.10",- ,"791,698.89",- ,- ,"150,330.46",152,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,062,374.95"
2014,1,"371,888.73","1,465.00","457,365.46","487,880.79","109,091.19",- ,"1,595,698.56",- ,- ,"117,010.52","2,238.00","149,806.14",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,292,444.39"
2014,2,"336,845.19",- ,"455,726.06","312,423.86","80,162.42",- ,"688,703.18",- ,- ,"116,368.88","6,093.80",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"1,996,323.39"
2014,3,"358,755.83","3,392.28","582,572.93","472,437.63","46,120.40",- ,"1,147,182.50",- ,- ,"407,270.41",639,"330,016.67",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,348,387.65"
2014,4,"466,766.95","1,570.10","270,302.22","207,049.00","72,947.78",- ,"845,051.33",- ,- ,"332,419.30","2,349.70","6,993.03",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,205,449.41"
2014,5,"554,784.32","4,644.98","563,319.79","417,767.24","175,257.51",- ,"1,008,148.07",- ,- ,"246,105.20","2,000.03","327,251.71",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,299,278.85"
2014,6,"359,135.62",- ,"404,603.55","247,114.99","67,873.76",- ,"694,920.68",- ,- ,"286,478.99","5,469.60",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,065,597.19"
2014,7,"417,570.34",- ,"558,403.41","454,196.13","66,309.97",- ,"845,875.86",- ,- ,"167,316.42","3,399.70",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,513,071.83"
2014,8,"416,068.30",356.6,"398,563.48","305,285.53","170,401.29",- ,"760,353.37",- ,- ,"477,014.48","1,736.40","151,264.47",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,681,043.91"
2014,9,"408,998.93",358.6,"547,486.22","378,741.56","13,079.90",- ,"598,145.89",- ,- ,"368,203.04","2,799.10",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,317,813.24"
2014,10,"314,868.89","4,466.90","379,572.07","256,340.49","20,828.70",- ,"762,763.24",- ,- ,"230,129.08","3,367.86","161,718.04",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,134,055.27"
2014,11,"487,343.72",- ,"533,524.40","372,809.93","79,078.42",- ,"1,033,873.16",- ,- ,"243,197.44","4,294.61",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,754,121.68"
2014,12,"380,185.96","27,979.07","583,081.57","491,072.11","124,619.87",- ,"1,004,032.65",- ,- ,"91,348.40","48,364.50","152,365.73",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,903,049.86"
2015,1,"523,352.31",- ,"471,973.30","371,420.59","19,111.30",- ,"1,324,421.96",- ,- ,"245,584.89",142.9,"148,594.27",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,104,601.52"
2015,2,"421,268.22",- ,"664,315.85","548,714.53","170,853.82",- ,"955,286.02",- ,- ,"162,224.95","3,349.05",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,926,012.44"
2015,3,"497,168.60",- ,"622,883.10","453,536.19","90,955.77",- ,"1,164,885.97",- ,- ,"280,843.31","8,319.11","164,423.33",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,283,015.37"
2015,4,"519,603.84",- ,"599,558.55","537,064.59","108,382.50",- ,"1,130,870.79",- ,- ,"304,405.66","15,358.33",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,215,244.26"
2015,5,"415,890.34",- ,"618,319.21","534,049.28","58,745.67",- ,"954,782.75",- ,- ,"375,606.55","33,380.56","163,409.40",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,154,183.76"
2015,6,"526,358.48",- ,"525,280.85","394,824.33","100,499.13",- ,"862,071.77",- ,- ,"336,491.48","10,275.34","162,807.81",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,918,609.19"
2015,7,"411,971.43",- ,"616,269.01","519,374.15","123,496.73",- ,"1,149,630.43",- ,- ,"235,587.32","2,723.80",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,059,052.87"
2015,8,"561,563.81",- ,"467,373.13","328,552.07","119,764.65",- ,"919,285.90",- ,- ,"348,192.53","3,047.60","165,284.13",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,913,063.82"
2015,9,"480,268.89",- ,"576,250.29","485,906.49","147,445.06",- ,"754,068.77",- ,- ,"513,707.26",74.88,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,957,721.64"
2015,10,"423,239.36","11,536.58","533,620.64","432,666.75","135,724.25",- ,"1,163,425.95",- ,- ,"250,054.86",571.4,"148,515.29",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,099,355.08"
2015,11,"637,316.48",- ,"724,273.97","574,547.76","184,093.93",- ,"904,700.42",- ,- ,"263,741.40","11,175.83",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,299,849.79"
2015,12,"500,684.29",- ,"498,798.79","319,329.71","116,266.75",- ,"1,113,876.28",- ,- ,"208,710.54",640.37,"148,507.37",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,906,814.10"
2016,1,"748,970.64",- ,"729,211.43","546,876.54","16,000.00","104,377.60","987,507.78",- ,- ,"178,437.60","27,449.20","162,512.74",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,501,343.52"
2016,2,"287,337.74",- ,"405,559.45","424,074.81","24,900.00","117,800.10","1,167,227.96",- ,- ,"370,085.96",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,796,986.02"
2016,3,"504,451.07","25,081.90","771,024.11","508,542.18","13,000.00","111,203.62","1,498,844.95",- ,- ,"264,193.10","2,716.52","181,497.47",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,880,554.92"
2016,4,"587,482.69",- ,"502,728.88","527,083.64","16,000.00","59,681.73","1,137,213.10",- ,- ,"269,518.34","4,428.60","161,331.89",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,265,468.87"
2016,5,"416,912.47",- ,"615,900.31","528,347.81","19,000.00","97,343.58","1,035,544.08",- ,- ,"495,459.41","1,714.30",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"3,210,221.96"
2016,6,"703,319.23",- ,"502,082.45","397,477.40","16,000.00","81,862.33","800,222.53",- ,- ,"400,963.62","2,142.90",- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"2,904,070.46"
